Link,Occurred,City,State,Country,Shape,Summary,Media
Open,03/03/2024 15:36,Waynesburg,PA,USA,Orb,I saw several white volleyball sized and shaped white orbs in the sky rotating all around each other with no obvious pattern,
Open !,02/16/2024 21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,Y
Open,02/14/2024 19:30,Monroeville,PA,USA,Orb,Observed a bright large spherical object tracked and merged with a smaller sphere,
Open,02/14/2024 19:24,Pittsburgh,PA,USA,Orb,object with a halo around it and another object following it,Y
Open,02/07/2024 04:10,Harrisburg,PA,USA,Triangle,Far up in sky,
Open,01/20/2024 03:18,Essington,PA,USA,Circle,"Looked up at the stars. Saw a very fast round orange orb. Took about 3 to 5 seconds , From north to south across the whole skyline.",
Open,01/14/2024 16:58,Chalfont,PA,USA,Circle,It was a circular white reflection WNW of my location.,
Open,01/14/2024 16:42,Easton,PA,USA,Chevron,Was out getting some air and for a walk and spotted this on my way out while staring at the sign for vitamin D and noticed it.,Y
Open,01/07/2024 16:23,Wilkes-Barre,PA,USA,Cylinder,2 hovering objects,Y
Open,01/05/2024 21:45,Philadelphia,PA,USA,Circle,"Large, linear flying object traveling at low level that disappeared suddenly",
Open,01/05/2024 19:06,South Canaan Township,PA,USA,Circle,we never seen so many colors in a plane or any thing like this . we have a video on phone shows it really good what we seen if blown up,
Open,01/02/2024 16:42,Richlandtown,PA,USA,Cigar,"Observed a dull, reddish brown colored cigar-shaped object approach from Southwest of Richlandtown, PA and move Northeast",
Open,12/31/2023 23:45,Allentown,PA,USA,Disk,Orange light in the sky moving quickly from northwest to Southeast direction,Y
Open,12/20/2023 17:23,Liberty Township,PA,USA,Oval,"It was chrome oval shaped like an egg, hovering over the farm land then instantly gone",
Open,12/16/2023 15:30,Reading,PA,USA,Disk,Definitely caught my attention never seen something like that and flying in that matter plus as metallic glowing some think I’m crazy.,Y
Open,12/16/2023 02:10,Tunkhannock,PA,USA,Flash,I saw a bright blue flash in the Eastern sky. 2 other people saw it as well.,
Open,12/14/2023 18:00,Harleysville,PA,USA,Sphere,Spherical object moving with bright flashing lights,Y
Open,12/12/2023 05:30,TATAMY Borough,PA,USA,Circle,Flash then light,
Open,12/10/2023 03:07,Bath,PA,USA,Fireball,Hovering light orb that repeatedly grew into huge extremely bright fireball/vortex circle and back to orb.,
Open,12/08/2023 20:00,Pittsburgh,PA,USA,Chevron,"My husband and I saw and took a video of a very large, chevron shaped craft with a straight row of lights across the back center.",Y
Open,12/08/2023 18:01,Kennett Township,PA,USA,Changing,"Object went from a triangle shaped craft in the distance to a massive craft over top of me. The craft didn’t leave, it faded away.",Y
Open,12/08/2023 17:30,West Goshen Township,PA,USA,Orb,Amber light. High altitude,
