Occurred,City,State,Country,Shape,Summary,Reported,Posted
08/01/2021 03:25,Bethlehem,PA,USA,Other,Unknown object near my home,08/02/2021,08/16/2021
07/30/2021 12:51,Millerton,PA,USA,,MADAR Node  104,08/10/2021,08/16/2021
07/26/2021 19:30,Phoenixville,PA,USA,Cylinder,Tic tac crafts passing each other as on two-lane highway in blue sky with puffy clouds.,07/28/2021,08/16/2021
07/23/2021 17:27,Allentown,PA,USA,,MADAR Node  177,08/10/2021,08/16/2021
07/21/2021 03:01,Richboro,PA,USA,Circle,Perfectly circular formation of even pure white light of intense luminosity,07/21/2021,08/16/2021
07/19/2021 19:35,Philadelphia,PA,USA,Circle,Several round white object sight near my flight traveling in opposite direction at a high rate of speed.,07/19/2021,08/16/2021
07/18/2021 04:00,Reading,PA,USA,Light,WHITE DOT IN PA,07/19/2021,08/16/2021
07/13/2021 21:52,State College,PA,USA,Unknown,Bright green flashing light in the sky hovering in a weird shaped craft. Incredible speed as the craft zoomed away.,07/13/2021,08/16/2021
07/10/2021 22:04,Whitehall,PA,USA,Circle,I saw either 6 or 7 distinct white lights that kept its spacing the entire time it was visible in the sky,11/03/2022,12/22/2022
07/04/2021 22:00,Fayetteville,PA,USA,Orb,3 UFOs flew over my house and I filmed the 3rd,12/05/2021,12/19/2021
07/04/2021 02:30,Oil City,PA,USA,Diamond,Black Diamond,05/29/2022,06/22/2022
07/03/2021 10:00,Shamokin,PA,USA,Circle,Fairly high in the sky my boyfriend and I spotted a bright orange light. It caught our attention as odd right from the start. It didn't,07/04/2021,08/16/2021
06/26/2021 21:16,Millerton,PA,USA,,MADAR Node 104,07/21/2021,08/16/2021
06/20/2021 04:00,Erie,PA,USA,Unknown,My mother and I saw these. After we went in we were both zapped by the same white light at the same time. This can't be fake,01/21/2023,03/06/2023
06/19/2021 17:10,Delmont,PA,USA,Changing,"Delmont, Pa Flying object interchanging shapes rolling motion.",06/19/2021,07/31/2021
06/18/2021 01:00,Downingtown,PA,USA,Circle,Multiple slow moving craft seen all over the sky during early morning hours.,06/18/2021,07/31/2021
06/17/2021 15:38,Havertown,PA,USA,Light,Small Bright round object high in the afternoon sky remained in same position for 10 minutes then disappeared,06/25/2021,08/16/2021
06/15/2021 17:00,Philadelphia,PA,USA,Changing,"This was the fourth UFO I've seen in my lifetime. the first one was maybe 20 years ago, the second one was maybe 8 years ago, the third",08/10/2021,08/16/2021
06/13/2021 02:17,Luthersburgh,PA,USA,Flash,It shined my car and then took off like a flash then met up with two more white light crafts plus 2 red fiery looking crafts,06/13/2021,07/31/2021
06/09/2021 21:46,Phoenixville,PA,USA,Triangle,"Pa. Triangular shape hovering  50ft with two steady lights in front, multiple blinking lights on sides and bottom and visible 5-7 min",06/09/2021,07/31/2021
06/09/2021 10:30,Effort,PA,USA,Circle,was painting my house when stepping back to look at the trim i just painted this bright circle passing over the top of house,11/24/2021,12/19/2021
06/04/2021 22:15,Confluence,PA,USA,Other,"Clear night. I was walking my pet in a stroller through the Outflow Campground in Confluence, PA at 10:15 p.m.  I was walking north whe",06/04/2021,07/31/2021
05/31/2021 21:39,Port allegany,PA,USA,Chevron,Three small flashing objects surrounding a larger object. Erratic movements by smaller objects. Large object was very brightly lit. Obj,05/31/2021,07/31/2021
05/31/2021 12:00,Sharon,PA,USA,Diamond,Mass amount,01/24/2023,03/06/2023
05/27/2021 02:35,Scranton,PA,USA,Rectangle,"Around 2:35am at the Jets Park in West Scranton, Pennsylvania, next door to the Kane's Warehouse me and a friend saw a yellow rectangle",05/27/2021,07/31/2021
05/23/2021 14:35,Furlong,PA,USA,,MADAR Node 38,06/14/2021,07/31/2021
05/17/2021 16:17,Wellsboro,PA,USA,Cylinder,I was at the overlook at The Pennsylvania Grand Canyon and snapped a picture of an eagle flying over the mountains. It wasn’t until I l,05/23/2021,07/31/2021
05/16/2021 09:00,McDonald,PA,USA,Unknown,"15 crafts in space that raced, darted, faded in and out, pretended to be stars, and wobbled in all directions in the sky.",05/16/2021,05/20/2021
05/15/2021 20:15,New Hanover Township,PA,USA,Circle,about 15 orange circular objects flying at low altitude.,05/16/2021,05/20/2021
05/08/2021 23:12,bellefonte,PA,USA,Flash,I noticed a bright orb in the sky; it was moving in different directions.,09/29/2023,10/28/2023
05/08/2021 21:45,Shrewsbury,PA,USA,Formation,"Small lights circulating in a straight line, over and over",05/08/2021,05/20/2021
05/08/2021 21:40,Camp Hill,PA,USA,Circle,White dots moving in a line.,05/08/2021,05/20/2021
05/08/2021 21:00,Washington,PA,USA,Light,"3 lights, odd red color",05/09/2021,05/20/2021
04/28/2021 22:00,Uniontown,PA,USA,Unknown,We were walking to gas station when we looked up to sky to see the stars and we seen this object jumping side to side so fast then gone,01/13/2024,02/15/2024
04/28/2021 21:40,Yardley,PA,USA,Unknown,"Red flickering lights in Bucks County, PA",04/29/2021,05/20/2021
04/26/2021 23:00,Reading,PA,USA,Triangle,"Stable in one spot in sky! Looked through binoculars and saw triangle shape with red, green and white lights turning off and on with ci",04/26/2021,05/20/2021
04/21/2021 04:47,Erie,PA,USA,,MADAR Node 39,05/13/2021,05/20/2021
04/20/2021 21:00,Dublin,PA,USA,Fireball,"Ball of light fastly flashes/transport into a triangle, if they were 3 lighting up in triangle formation 1 blink per point at 1 time. A",04/19/2021,04/23/2021
04/19/2021 20:30,West Chester,PA,USA,Cigar,"Crazy cigar shaped glowing object in suburban PA.  It glowed and hovered for at least 10 minutes, my dog was very disturbed.",04/20/2021,04/23/2021
04/19/2021 00:45,Clarion,PA,USA,Light,3 lights over the midnight sky,04/19/2021,04/23/2021
04/15/2021 23:00,Cheswick,PA,USA,Other,crescent moon shaped object that changed shape and disappeared.,04/17/2021,04/23/2021
04/09/2021 01:00,Dingman Township,PA,USA,Light,I think I saw a UFO.,04/09/2021,04/23/2021
04/07/2021 21:20,Crum Lynne,PA,USA,Formation,"12 nickle size yellow,orange, white lights by US 13 in Delaware county Pa",04/07/2021,04/23/2021
04/03/2021 00:00,Tioga,PA,USA,Orb,Noticed it a month ago. And every night since. Yellow glowing orbs rising from the damn. Our town I's built in the shadow of this damn.,05/05/2021,05/20/2021
04/02/2021 21:00,Doylestown,PA,USA,,((NUFORC Note:  Witness provides no information about sighting; elects to remain totally anonymous.  PD)),04/03/2021,04/23/2021
04/02/2021 20:10,Oxford,PA,USA,Oval,Red flying object,04/02/2021,04/23/2021
03/26/2021 05:30,New Castle,PA,USA,Oval,Oval craft with red and white lights hovering over trees,03/26/2021,03/31/2021
03/21/2021 07:07,Douglassville,PA,USA,Unknown,watch the video.,03/21/2021,03/31/2021
03/19/2021 20:00,Richboro,PA,USA,Light,Bright white light at high speed SE of Richboro,03/20/2021,03/31/2021
03/18/2021 06:09,Furlong,PA,USA,,MADAR Node 38,04/03/2021,04/23/2021
03/15/2021 06:35,Windber,PA,USA,Circle,"Object was circular and was bright blue in color and was moving left to right, hovering above the tree line in the northern sky as the",03/15/2021,03/31/2021
03/14/2021 06:12,Wayne,PA,USA,Formation,4 white lights,03/14/2021,03/31/2021
03/14/2021 06:00,Langhorne,PA,USA,Fireball,"Looking out at south east morning sky, I saw a bright white point of light with lit up trailing vapor ((Falcon 9 launch))",03/14/2021,03/31/2021
03/12/2021 19:20,Arnold,PA,USA,Light,"Six Traveled west to east, bright to dim as they traveled overhead.",03/13/2021,03/31/2021
03/07/2021 17:36,Nottingham,PA,USA,Cylinder,Hovering craft,03/07/2021,03/31/2021
03/06/2021 17:55,Mckees Rocks,PA,USA,Other,Ufo spotted over Mckees Rocks Pennsylvania,03/07/2021,03/31/2021
02/26/2021 00:44,Pittsburgh,PA,USA,Orb,"The night before strange sounds were heard outside, and loud banging against the sliding glass doors.",02/25/2021,03/02/2021
02/25/2021 08:50,Butler,PA,USA,Cigar,Bright cigar shaped object,02/25/2021,03/02/2021
02/24/2021 16:30,Lansdowne,PA,USA,Formation,"Observed silver aircrafts at great rocket heights flying in tight formation, maneuvering in super tight formation, with clear blue sky.",02/25/2021,03/02/2021
02/20/2021 21:00,Oxford,PA,USA,Light,Very bright gold hovering light,02/21/2021,03/02/2021
02/14/2021 06:57,Folsom,PA,USA,Fireball,Two UFO’s reported in pa,02/14/2021,03/02/2021
02/12/2021 06:00,Allenwood,PA,USA,Circle,"3 spheres, equally spaced apart, moving west to east, all on the same plane and trajectory.",02/12/2021,03/02/2021
02/04/2021 07:10,King of Prussia,PA,USA,Light,Light moving across the sky over the Pennsylvania turnpike,02/04/2021,03/02/2021
02/03/2021 22:40,Reading,PA,USA,Triangle,Triangular Craft Spotted Above Treeline in Reading,02/03/2021,03/02/2021
01/30/2021 19:00,Exton,PA,USA,Other,Massive wide U shaped translucent object with 20 - 30 dim lights heading SW,01/31/2021,03/02/2021
01/24/2021 05:55,Norristown,PA,USA,Light,I saw two lights that looked like stars or aircraft flying in formation to the northwest when I walked outside to at around 5:55 am EST,01/24/2021,03/02/2021
01/22/2021 20:15,Kennett Square,PA,USA,Sphere,Small red blinking sphere,01/22/2021,03/02/2021
01/10/2021 20:00,Philadelphia,PA,USA,Triangle,"V/Triangle-shaped, silent craft near Philadelphia on 1/10/21",01/12/2021,01/19/2021
01/10/2021 20:00,Reading,PA,USA,Oval,I was on my way home and saw this big oval weird spaceship with two bright LED lights moving oddly really close to earth like 100ft or,01/11/2021,01/19/2021
01/10/2021 20:00,Reading,PA,USA,Oval,I was ob my way home and saw this big oval weird spaceship with two bright LED lights moving oddly really close to earth like 100ft or,01/11/2021,01/19/2021
01/07/2021 20:00,Warminster,PA,USA,Other,Ufo chased by military over Warminster Pa,01/08/2021,01/19/2021
