Occurred,City,State,Country,Shape,Summary,Reported,Posted
10/01/2020 20:00,Mount Carmel,PA,USA,Circle,"Saw a white white circular shape float across the sky for about a mile, then went behind a tree waited for it to come out the other sid",10/01/2020,11/05/2020
10/01/2020 04:00,Covington,PA,USA,Light,I woke up at 4am to go to the bathroom and when I layed back down I saw a really bright light in the sky that I have never noticed befo,10/01/2020,11/05/2020
09/30/2020 23:00,Monroeville,PA,USA,Unknown,"I have seen two things. I don't know if I am crazy or what. The first. This took place as we were talking about UFOs. We see a light, a",10/01/2020,11/05/2020
09/30/2020 17:00,Abington,PA,USA,Cigar,"Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky.  Blue sky. Crystal clear. The one small cloud, NE sky, had what looked like a",09/30/2020,11/05/2020
09/30/2020 06:30,Mechanicsburg,PA,USA,Flash,"It was a super bright, long lasting flash.",09/30/2020,11/05/2020
09/28/2020 20:30,Clarion,PA,USA,Changing,They come back to the same spot frequently.,10/01/2020,11/05/2020
09/26/2020 22:00,Glenmoore,PA,USA,Disk,Back yard,12/03/2021,12/19/2021
09/26/2020 03:18,Furlong,PA,USA,,MADAR Node 38,10/07/2020,12/23/2020
09/25/2020 10:30,Conneautville,PA,USA,Light,Object would blink every 30 seconds. At first it was stationary. Right by the dipper but then moved to the south west. Second time I ha,09/29/2020,11/05/2020
09/25/2020 00:20,Aliquippa,PA,USA,,MADAR Node 68,10/07/2020,12/23/2020
09/24/2020 22:43,Altoona,PA,USA,Disk,"On September 24,2020 I saw one large object saucer with lights in sky size of a bus. It was at 10:43 p.m. at night flying across the sk",10/26/2020,12/23/2020
09/21/2020 21:15,Wharton,PA,USA,Sphere,Small floating object observed at very close proximity.  Intermittent lights and movement.,09/22/2020,11/05/2020
09/20/2020 05:45,Swoyersville,PA,USA,Sphere,"Bright orange light in sky, moving at high rate of speed, moved toward horizon, than stopped and wandered about sky.",09/22/2020,11/05/2020
09/19/2020 22:44,Blackwell,PA,USA,Light,2 Mysterious Bright orange objects Burning in the sky,09/22/2020,11/05/2020
09/19/2020 06:47,Furlong,PA,USA,,MADAR Node 38,09/30/2020,11/05/2020
09/19/2020 04:00,Reading,PA,USA,Cylinder,"Unidentifiable aircraft hovering in Reading over hundreds of feet in the air, flashing red, green, and blue lights. Moves Weirdly.",09/22/2020,11/05/2020
09/16/2020 22:00,Richboro,PA,USA,Circle,I saw ufo flying in the sky late at night,10/04/2020,11/05/2020
09/16/2020 12:30,Media,PA,USA,Disk,"A white, disc shaped object flew slowly in the sky and then disappeared.",10/18/2020,12/23/2020
09/16/2020 09:15,Milmont Park,PA,USA,Disk,A white disc shaped object flew from right to left in a strait horizontal line.,10/18/2020,12/23/2020
09/15/2020 22:00,Allentown,PA,USA,Orb,Three orb lights disappear and reappear,11/23/2023,12/09/2023
09/15/2020 21:15,Newtown,PA,USA,Unknown,My wife and I were on our patio talking. It was a clear night and as I looked at the sky I could see the typical stars and as I'm looki,09/30/2020,11/05/2020
09/15/2020 21:03,Cochranville,PA,USA,Unknown,Large unidentified drone-like craft with blinking lights in 19330,09/17/2020,11/05/2020
09/14/2020 06:53,Aliquippa,PA,USA,,MADAR Node  68,09/30/2020,11/05/2020
09/14/2020 06:53,Aliquippa,PA,USA,,MADAR Node 68,09/30/2020,11/05/2020
09/12/2020 20:20,Phoenixville,PA,USA,Other,Very fast moving orange arura/ haze flying at amazing speeds and stops to make quick turns.,09/12/2020,11/05/2020
09/11/2020 22:00,Washington,PA,USA,Fireball,"Husband and I thought it was Mars we were looking at. Next thing we know the ""star"" appeared to get bigger glowing bright red",09/11/2020,11/05/2020
09/10/2020 19:47,Hilltown,PA,USA,Triangle,Large fireball entered atmosphere with windblown fire until parachutes opened and landed about ¾ mile apart. Shaped like an Elon Musk c,11/10/2020,12/23/2020
09/08/2020 19:00,Forest Hills,PA,USA,Changing,White line in the sky at Sunset turns upward and takes off with a large plume behind like a launched rocket.,01/04/2021,01/19/2021
09/07/2020 21:05,Erie,PA,USA,Sphere,"Bright orange circle in sky looked on fire, was flying very fast and as it turned in east direction, it slowed down and then flickered",09/07/2020,11/05/2020
09/07/2020 19:25,York Springs,PA,USA,Circle,I was watering my garden and was looking up at the sky. I turned towards the North and saw this large illuminated object. I stood there,09/07/2020,11/05/2020
09/07/2020 19:00,Orrstown,PA,USA,Circle,"circular bright lights on the outside occasionally one light sticking down lower from center, very slowly moving no exhaust fumes, pret",09/07/2020,11/05/2020
09/05/2020 22:00,Birdsboro,PA,USA,Light,Saw red light dipping behind treetops and backup again a few times,09/05/2020,11/05/2020
09/04/2020 21:30,Bloomsburg,PA,USA,Oval,Bright illuminating elongated circular hovercraft 300 ft in the air stationary. No moving no blinking lights glowing stationary craft.,09/04/2020,11/05/2020
09/04/2020 21:00,East Stroudsburg,PA,USA,Sphere,Hovering crafts with lights,09/07/2020,11/05/2020
09/04/2020 09:30,Bloomsburg,PA,USA,Disk,Stationary saucer with 3 bright glowing royal blue lights which sat above Columbia County Jail for less than a minute.,09/04/2020,11/05/2020
09/04/2020 09:30,Bloomsburg,PA,USA,Oval,Bright illuminating elongated circular hovercraft 300 ft in the air stationary. No moving no blinking lights glowing stationary craft.,09/05/2020,11/05/2020
09/03/2020 20:45,Cowansville,PA,USA,Light,"Walking home from gas station around 8:45pm. About 1 mile from my home. Its just getting dark, so I'm looking at the sky when over the",09/04/2020,11/05/2020
08/30/2020 19:05,Avella,PA,USA,Cylinder,I saw a cylindrical object floating in the air. Probably 200 ft or more above the tree tops. I took several photos and a short video.,08/31/2020,09/04/2020
08/30/2020 18:20,Glendon,PA,USA,Sphere,The ufo was a little below the clouds round sphere like object very shiny no noise and flew past house and flew into the clouds and dis,08/30/2020,09/04/2020
08/30/2020 15:19,Millerton,PA,USA,,MADAR Node 104,09/17/2020,11/05/2020
08/29/2020 20:00,East Berlin,PA,USA,Light,we saw a bright light looking SE. It did not move. It appeared to be stationary. We watched it for about 30 minutes. We figured it was,08/30/2020,09/04/2020
08/27/2020 00:00,Dalmatia,PA,USA,Unknown,UFO moved randomly and rapidly in the distance then there was a flash and it was gone!,10/29/2020,12/23/2020
08/24/2020 22:19,Altoona,PA,USA,Oval,Orange colored oval shape very bright,08/25/2020,08/27/2020
08/24/2020 22:00,Littlestown,PA,USA,Light,My wife and I where out back when i seen a Small light moving at steady pace across sky. We see them all the time going in different di,08/25/2020,08/27/2020
08/24/2020 07:45,Aliquippa,PA,USA,,MADAR Node 68,09/11/2020,11/05/2020
08/24/2020 00:00,Reading,PA,USA,Oval,"the object was oval with red, white,blue lights blinking. It appereared slowly in the sky lights blinking going different directions. T",08/28/2020,09/04/2020
08/23/2020 04:30,Trafford,PA,USA,Cross,"Upright shaped cross, white lit spire on top, yellow lit longer rod from bottom moving west to east in Pennsylvania.",08/23/2020,08/27/2020
08/22/2020 20:36,Furlong,PA,USA,,MADAR Node 38,09/01/2020,09/04/2020
08/22/2020 06:00,Waynesboro,PA,USA,Light,Stationary light shot  upwards at a high rate of speed.,08/22/2020,08/27/2020
08/20/2020 00:00,Centerville,PA,USA,Light,"We were just outside on the deck having coffee and noticed what looked like a bright star in the sky. When we started watching it, it m",08/19/2020,08/20/2020
08/18/2020 21:45,Bethlehem,PA,USA,Disk,Disk shaped object blinking red and green lights was seen being followed by 3 low-flying planes with bright lights. A neon green ball o,08/18/2020,08/20/2020
08/18/2020 18:06,Warrington,PA,USA,Cigar,Saw an object that looked like a plane on top of a house,03/14/2023,04/09/2023
08/16/2020 00:00,Sunbury,PA,USA,Diamond,Diamond shaped craft in Sunbury,08/17/2020,08/20/2020
08/14/2020 16:00,Slippery Rock,PA,USA,Triangle,Was not of this planet.,08/14/2020,08/20/2020
08/12/2020 23:36,Pine Grove,PA,USA,Sphere,"I was outside around 11:00 to view the meteor shower that was to take place this night. As I sat and watched, something caught my atten",08/11/2020,08/20/2020
08/12/2020 00:30,Boiling Springs,PA,USA,Light,Star/satellite-like light in the night sky moving unusually and sporadically for a prolonged period of time.,08/12/2020,08/20/2020
08/11/2020 23:40,Hazleton,PA,USA,Light,"Two objects seen flying over Hazleton, PA in a northern direction.",08/12/2020,08/20/2020
08/10/2020 21:00,Dillsburg,PA,USA,Fireball,Large bright red flash seemed to appear out of the sky at 30 degrees and fall into the horizon.,08/10/2020,08/20/2020
08/09/2020 22:35,Chalfont,PA,USA,Triangle,"Dark triangular craft 3 blue lights, being followed by some type of HELICOPTER.",08/09/2020,08/20/2020
08/09/2020 22:04,Bangor,PA,USA,Light,"Single light [which I thought was a satellite] passing west of Altair moving north slowly towards Lacerta, split into two lights.  One",08/10/2020,08/20/2020
08/08/2020 23:30,Pittsburgh,PA,USA,Circle,"Circular UFO resembling a Roomba hovered 50yds behind our house, just over the neighbor’s house",08/09/2020,08/20/2020
08/08/2020 22:15,Pittsburgh,PA,USA,Unknown,5 people and myself witnessed a string of objects grouped tightly together high in the western sky  ((Starlink satellites?)),08/09/2020,08/20/2020
08/08/2020 22:15,Pittsburgh,PA,USA,Formation,Clear night spotting of an estimated 14 to 18 bright close lights non uniformly crossed above stopped then moved on turned immediately,08/09/2020,08/20/2020
08/08/2020 19:25,Tunkhannock,PA,USA,Cigar,Luminescent cigar shape craft in daylight.,08/08/2020,08/20/2020
08/08/2020 00:00,Verona,PA,USA,Other,Silver metallic pyramid shaped object rotating heading east.,08/09/2020,08/20/2020
08/06/2020 22:00,Youngsville,PA,USA,Formation,I Was sitting outside enjoying the night sky. I looked to the north and saw ufo's in a formation.  They were a very bright solid white.,08/27/2020,08/27/2020
08/03/2020 22:33,Uniontown,PA,USA,Sphere,Sphere shaped object changes color drops something and slowly disappears!!,08/04/2020,08/06/2020
08/03/2020 21:00,Collegeville,PA,USA,Circle,"A circular red ball was slowly flying west for about 45 seconds, then stopped and proceeded to fly northwest  and out of the atmosphere",08/04/2020,08/06/2020
08/02/2020 23:30,Lemont Furnace,PA,USA,Circle,Saw round object street across sky than hover and make incredible maneuver,08/06/2020,08/20/2020
08/02/2020 21:30,Uniontown,PA,USA,Disk,Swarm of Small blimp like objects with lights on front spotted while moon gazing!,08/04/2020,08/06/2020
08/02/2020 21:00,Everret,PA,USA,Circle,Circle type UFO with 4 square bright lights and triangle tail seen through binoculars traveled across the sky in less then 2 minutes.,08/03/2020,08/06/2020
08/01/2020 20:00,Paoli,PA,USA,Triangle,"Just above the trees. Dark metal, triangular silent, moving SW about 15 mph. 3 white lights down two edges, apex forward.",08/13/2023,09/10/2023
08/01/2020 04:00,Lehighton,PA,USA,Light,This is the 3rd experiences I've had in a 4-5 week span. Each experience has one common denominator a circle of brilliant white light t,08/01/2020,08/06/2020
07/31/2020 20:43,Yardley,PA,USA,Light,"Initially saw one bright light that passed over, then immediately after 2 more appeared",02/05/2023,03/06/2023
07/29/2020 23:00,Downingtown,PA,USA,Light,Third time seeing a white light moving in the sky then disappear - almost exactly the same each time,07/30/2020,07/31/2020
07/28/2020 16:00,Schnecksville,PA,USA,Disk,Insect or ufo?,07/28/2020,07/31/2020
07/28/2020 05:27,Holland,PA,USA,Cross,Explosive white circular light,08/12/2020,08/20/2020
07/27/2020 23:01,Downingtown,PA,USA,Light,Second night in a row that I've seen a light slowly traveling then vanish,07/29/2020,07/31/2020
07/27/2020 04:15,Portage,PA,USA,Formation,5 white-ish orbs high up forming an arrow they would go dark then get bright.,07/27/2020,07/31/2020
07/26/2020 23:20,Downingtown,PA,USA,Light,Saw a light moving in the sky and disappearing.,07/26/2020,07/31/2020
07/21/2020 21:40,Whitehall,PA,USA,Formation,5 or 6 orange balls/orbs forming an arrowhead,07/20/2020,07/23/2020
07/18/2020 22:52,Chester Springs,PA,USA,Sphere,Steady orange glowing sphere within a slightly larger glowing sphere moving west to east,07/19/2020,07/23/2020
07/17/2020 23:17,Nazareth,PA,USA,Disk,"On July 17, 2020 In Nazareth PA I went out to see if I was able to see the comet even though I was almost midnight. Right away I saw 4",07/18/2020,07/23/2020
07/17/2020 10:00,Havertown,PA,USA,Sphere,I was looking at Saturn and Jupiter in the Eastern sky around 10 pm when I noticed a light traveling from the East heading northwest to,07/17/2020,07/23/2020
07/15/2020 21:00,Hellertown,PA,USA,Fireball,"Objects with a fireball appearance, Hellertown PA",07/19/2020,07/23/2020
07/15/2020 15:00,Glen Mills,PA,USA,Cigar,moved right to left. no sound or how flying no other identifications,01/17/2022,03/04/2022
07/15/2020 00:00,Emmaus,PA,USA,Circle,What appeared to be a white star circling a red circle. Object was not sporadic in movement.,07/16/2020,07/23/2020
07/14/2020 22:16,Lords Valley,PA,USA,Cylinder,Glowing orange cylinder flying width-wise about 2000 ft in altitude crossing 70 degrees of sky silently in 8 seconds.,07/15/2020,07/23/2020
07/14/2020 22:15,Lords Valley,PA,USA,,MADAR Node 44. considerable compass heading change during the five-minute period of one-minute datalines of  03:15:27 to 03:20:32,03/15/2021,03/31/2021
07/14/2020 22:00,Upper Chichester,PA,USA,Unknown,Flashing lights in a sporadic pattern moving very fast over PA,07/15/2020,07/23/2020
07/14/2020 10:47,Lords Valley,PA,USA,,MADAR Node 44,07/23/2020,07/23/2020
07/14/2020 07:42,Millerton,PA,USA,,MADAR Node 104,07/23/2020,07/23/2020
07/13/2020 23:00,Sandy Lake,PA,USA,Circle,Resembled a Star.,07/13/2020,07/23/2020
07/13/2020 23:00,Worthville,PA,USA,Light,"Bright light traveling from southwest to northeast, too large to be a satellite.",07/14/2020,07/23/2020
07/13/2020 22:54,Thorndale,PA,USA,Light,I saw a moving light being followed by some type of plane,07/27/2020,07/31/2020
07/12/2020 00:00,New Kensington,PA,USA,Other,"Alien driving car, headlights shined in window as he pulled away, face to face with a grey alien, life-changing scary",07/13/2020,07/23/2020
07/11/2020 22:58,Erie,PA,USA,Circle,Perfectly shaped triangle of three craft hovering in the NE sky; one by one each left quickly disappearing into the darkness.,07/12/2020,07/23/2020
07/11/2020 22:45,Irwin,PA,USA,Circle,"At about 10:40 PM on July 11th, 2020 I took my dog outside in our back yard to use the bathroom. It was quiet for about the first 15 se",07/12/2020,07/23/2020
07/11/2020 22:17,New Florence,PA,USA,Orb,"At first it seemed against a clear night sky we were witnessing a shooting star. It shot across the stars stopped still illuminated, pa",07/13/2020,07/23/2020
07/11/2020 22:00,Erie,PA,USA,Triangle,I was leaving my house around 9:58pm to house sit my friends mothers place.(I ALWAYS look up at the sky on clear nights) I noticed 3 bl,07/11/2020,07/23/2020
07/11/2020 22:00,West Chester,PA,USA,Other,three vertically attached bright white stars wobbling left to right,07/11/2020,07/23/2020
07/11/2020 22:00,Schuylkill Haven,PA,USA,Other,"Translucent stingray-shaped object, no lights or noise at all, moved fast and vanished.",07/13/2020,07/23/2020
07/11/2020 21:47,Lords Valley,PA,USA,,MADAR Node 44,07/23/2020,07/23/2020
07/10/2020 09:20,Aliquippa,PA,USA,,MADAR Node 68,07/23/2020,07/23/2020
07/10/2020 01:00,Mills,PA,USA,Disk,large rotating saucer with dome. It stayed in one spot well above the tree line on the hill across the road from me.,11/23/2020,12/23/2020
07/09/2020 20:33,Pittsburgh,PA,USA,Orb,Strange sky and 2 moving orbs of light in the sky.,07/09/2020,07/23/2020
07/09/2020 00:25,West Abington Township,PA,USA,Teardrop,Black figure ignites  across sky and then vanished with a very controlled blast of light.  ((NUFORC Note:  Contact info defective.  PD),07/09/2020,07/09/2020
07/08/2020 21:45,Allentown,PA,USA,Fireball,"Round very bright orange object traveling west to east, turned south, ascended quickly, getting smaller then  disappeared into blacknes",07/08/2020,07/09/2020
07/08/2020 09:30,Levittown,PA,USA,Light,Bright white star shape that flew rapidly and flashed red and blue.,07/08/2020,07/09/2020
07/07/2020 22:00,Pittsburgh,PA,USA,Other,"Directly after an airplane flew over head to land at a nearby runway, my gf noticed lights moving in and out from each other. I though",07/06/2020,07/09/2020
07/07/2020 01:00,Dawson,PA,USA,Light,Seen a red light fly to a group of red lights.,07/07/2020,07/09/2020
07/05/2020 22:40,Nockamixon township,PA,USA,Light,Bright light rise over the lake went across the lake then disappeared,07/05/2020,07/09/2020
07/05/2020 22:31,Coudersport,PA,USA,Other,Looked like flashing headlights in the sky,07/11/2020,07/23/2020
07/05/2020 02:40,Girardville,PA,USA,Light,Bright orange light moving slowly from west to east then disappearing.,07/06/2020,07/09/2020
07/05/2020 02:39,Girardville,PA,USA,Light,Object that was orange circler bright light.,07/05/2020,07/09/2020
07/04/2020 22:00,Emmaus,PA,USA,Sphere,I noticed a single red circle going at a medium slow rate from the south to the north. Then noticed three other crafts .much smaller th,07/08/2020,07/09/2020
07/04/2020 22:00,Hatboro,PA,USA,Fireball,We were sitting by our pool trying to watch fireworks but they really didnt happen. Observed in the near sky what appeared to be a fire,07/17/2020,07/23/2020
07/02/2020 22:00,Pittsburgh,PA,USA,Triangle,It began to rotate and we could see it was a huge triangular object. A white light on each corner and a red light in the middle.,07/02/2020,07/03/2020
06/29/2020 10:40,York,PA,USA,Cigar,"A silver, cigar shaped ufo flew over my workplace. It was barely visible on this clear day. It had no wings and very thin. It flew pret",06/29/2020,07/03/2020
06/23/2020 14:00,Pittsburgh,PA,USA,Oval,Oval object moving in different directions,05/20/2021,05/20/2021
06/22/2020 00:00,Salisbury,PA,USA,Other,"My husband and I were going for ride over MT Davis, which is the highest point in PA. We love it up there because it is so beautiful an",07/10/2020,07/23/2020
06/20/2020 23:00,Stevensville,PA,USA,Circle,"light appearing from same ""spot,"" traveling a str8 line across the sky, then disappear into another spot of the sky.",07/11/2020,07/23/2020
06/18/2020 21:45,Myrtle Beach,PA,USA,Circle,Orange lights in the sky,07/11/2020,07/23/2020
06/16/2020 01:14,Philadelphia,PA,USA,Other,I was sitting on the front step of my apartment facing north/northeast when I seen what honestly appeared to be a flashlight coming fro,06/15/2020,06/25/2020
06/13/2020 23:57,Apollo,PA,USA,Circle,To begin there was one original craft that had two other crafts exited from the original.,06/16/2020,06/25/2020
06/13/2020 06:48,Aliquippa,PA,USA,,MADAR Node 68,07/08/2020,07/09/2020
06/13/2020 00:30,Line Lexington,PA,USA,Unknown,Bright white slow moving light.  ((NUFORC Note:  Possible star or planet??  PD)),06/12/2020,06/25/2020
06/12/2020 21:48,Doylestown,PA,USA,Triangle,"Large triangular object with three green lights seen in Solebury, PA",06/13/2020,06/25/2020
06/11/2020 23:30,Upper Salford,PA,USA,Unknown,Loud sound like a jet taking off at 11:30 PM.,06/12/2020,06/25/2020
06/11/2020 19:00,Spring Grove,PA,USA,Light,I was driving on a road when I saw a circular ball of white light. I watched it before I drove past some trees. It didn't seem to move,06/11/2020,06/25/2020
06/08/2020 20:53,Fredericktown,PA,USA,Circle,Saw what I thought was a satellite moving very slow from east to west with slight erratic left and right movement. Observed for approxi,06/08/2020,06/25/2020
06/06/2020 14:45,North Wales,PA,USA,Orb,"Lustrous/metallic orb traveling between clouds on Route 202 (North) near North Wales, PA",06/06/2020,06/25/2020
06/05/2020 22:30,plum,PA,USA,Light,"saw a bright red light appear out of nowhere. Hovered for a little.  Went to run in and get binoculars , when I came back outside it wa",06/06/2020,06/25/2020
06/03/2020 20:20,Philadelphia,PA,USA,Unknown,Spotted two sphere-shaped crafts in the sky after a major thunderstorm.,07/04/2020,07/09/2020
06/02/2020 21:27,Wilkes-Barre,PA,USA,Circle,In April 2020 we seen two at once over us. They were a dirty or dark brass color. They had an electrical sound almost like a bug zapper,06/02/2020,06/25/2020
05/30/2020 21:55,Macungie,PA,USA,Light,2 lights that looked like the engine burn of a very large rocket were seen proceeding south and then south easterly. There was no sound,05/31/2020,06/25/2020
05/26/2020 22:30,Mars,PA,USA,Triangle,Hovering triangular object with 3 white lights and one red.,06/04/2020,06/25/2020
05/24/2020 07:15,Bridgeville,PA,USA,Sphere,Slow moving sphere over Pittsburgh area,05/24/2020,06/25/2020
05/23/2020 23:00,Bethlehem,PA,USA,Cone,A very bright orange glowing craft (that I thought was on fire) traveled in a low altitude heading south from the northeast,05/23/2020,06/25/2020
05/23/2020 00:00,Conestoga,PA,USA,Light,As I watched the night sky about 10:30pm the stars were so bright and shining all over.  One star started to move across the sky in a z,05/23/2020,06/25/2020
05/21/2020 22:00,Bethlehem,PA,USA,Unknown,Last night I saw at least 6-7 that does not look like stars even its visible. 6 of them stayed one spot and it has multi color red/gree,05/22/2020,06/25/2020
05/19/2020 13:45,Philadelphia,PA,USA,Egg,White-gold textured ellipsoid vectors past skyscrapers in daylight,05/19/2020,06/25/2020
05/16/2020 01:36,Millerton,PA,USA,,MADAR Node 104,05/29/2020,06/25/2020
05/15/2020 06:54,Millerton,PA,USA,,MADAR Node 104,05/29/2020,06/25/2020
05/14/2020 21:50,Millerton,PA,USA,,MADAR Node 104,05/29/2020,06/25/2020
05/14/2020 06:41,Aliquippa,PA,USA,,MADAR Node 68,05/29/2020,06/25/2020
05/13/2020 00:00,Gulf Mills,PA,USA,Other,Driving on I76 near Gulf mills an craft with red blinking lights was going back in forth over the hill side. Then just suddenly stop ov,05/14/2020,05/15/2020
05/12/2020 07:20,Millerton,PA,USA,,MADAR Node 104,08/07/2020,08/20/2020
05/12/2020 07:20,Millerton,PA,USA,,Cattle very upset during alert.,08/07/2020,08/20/2020
05/09/2020 22:56,Elverson,PA,USA,Other,"Erratic , incredibly fast moving object that pops in and out of existence resembles a square shaped lower case e.",05/13/2020,06/25/2020
05/07/2020 03:30,Greensburg,PA,USA,Triangle,Super bright light,05/07/2020,06/25/2020
05/07/2020 00:35,Aliquippa,PA,USA,,MADAR Node 68,05/20/2020,06/25/2020
05/05/2020 19:00,Dupont,PA,USA,Circle,It was a clear night in May meet my wife and Son both seen a burning red circle in the sky,07/09/2020,07/09/2020
05/04/2020 20:11,Millerton,PA,USA,,MADAR Node 104,05/20/2020,06/25/2020
05/02/2020 22:45,Mapleton,PA,USA,Triangle,Red green white blue pulsating lights. Moving East to west and north to south in an irregular pattern.,05/02/2020,06/25/2020
05/02/2020 21:30,South Williamsport,PA,USA,Triangle,"We saw an orange, glowing, triangular-shaped craft in Pennsylvania May 2, 2020.",05/02/2020,06/25/2020
05/02/2020 07:00,Folcroft,PA,USA,Circle,Appeared to look like a bright star and quickly changed shapes. While recording a r in ng appeared around it and inside would change co,05/03/2020,06/25/2020
05/01/2020 22:00,Bensalem,PA,USA,Circle,"Bright spinning lights over Bensalem, PA",05/02/2020,06/25/2020
05/01/2020 18:40,Braddock,PA,USA,Rectangle,There were two rectangle crafts one farther away than the other.  Both moving at a slow pace and each craft had 4 semi see through line,05/01/2020,06/25/2020
04/28/2020 07:20,Selinsgrove,PA,USA,Sphere,"Large Blue Sphere Over Susquehanna River, Selinsgrove PA, in the early morning hours of April 28, 2020",04/28/2020,06/25/2020
04/28/2020 02:10,Hermitage,PA,USA,Light,bright stationary star dims and brightens several times,04/29/2020,06/25/2020
04/27/2020 22:00,Lansdale,PA,USA,Cigar,UFO'S playing in the sky.,04/30/2020,06/25/2020
04/27/2020 21:06,Sunbury,PA,USA,Circle,25 solid circular lights moving SE in a strait line.  ((Starlink satellites?)),04/27/2020,06/25/2020
04/27/2020 21:00,Wyomissing,PA,USA,Unknown,20 Lights in a row.  ((Starlink satellites?)),04/27/2020,06/25/2020
04/23/2020 22:00,Millerton,PA,USA,Orb,"We observed an orange orb  low and slow in the Northwestern sky, while responding to a MADAR alert.",04/24/2020,06/25/2020
04/23/2020 21:59,Millerton,PA,USA,,MADAR Node 104,07/02/2020,07/03/2020
04/22/2020 03:00,Curwensville,PA,USA,Triangle,Triangular object hovering fairly low to the ground before disappearing out of sight. Witnessed by 5 people,04/28/2020,06/25/2020
04/20/2020 21:00,Muncy,PA,USA,Formation,"Formation of 8-10? star-like lights, equal distance apart, quietly gliding across sky from SW to NE  ((Starlink satellites?))",04/28/2020,06/25/2020
04/18/2020 21:30,Wellsboro,PA,USA,Circle,Hhovering off the side of the mountain..was the brightest ball of light I have ever seen.  ((NUFORC Note:  Venus??  PD)),04/19/2020,05/01/2020
04/16/2020 02:44,Aliquippa,PA,USA,,MADAR Node 68,05/05/2020,06/25/2020
04/13/2020 15:55,Millerton,PA,USA,,MADAR Node 104,05/05/2020,06/25/2020
04/11/2020 21:09,Quakertown,PA,USA,Circle,Same as previous report second sighting of same object,04/11/2020,06/25/2020
04/11/2020 00:58,Frackville,PA,USA,Cigar,This was the best encounter.,04/12/2020,06/25/2020
04/10/2020 23:00,Clifton Heights,PA,USA,Light,Strange clusters of hovering white lights sometimes 3-5 of them seen nightly in the sky in Delaware County PA,04/10/2020,06/25/2020
04/10/2020 22:00,Reading,PA,USA,Circle,"Tonight I saw a bright light or cluster of bright lights hover for over an hour silently at about 2,000 feet above the city below our m",04/10/2020,06/25/2020
04/10/2020 21:20,Bellwood,PA,USA,Light,line of lights in sky over central pennsylvania  ((Star;oml satellites)),04/10/2020,05/07/2020
04/08/2020 22:59,Quakertown,PA,USA,Circle,Saw circular object in the sky holding steady which did not appear to be a star. I filmed it and watched it for a while until it starte,04/11/2020,06/25/2020
04/07/2020 23:30,Wampum,PA,USA,Disk,White glowing disc with light underneath!,04/08/2020,04/09/2020
04/07/2020 21:15,Honey Brook,PA,USA,Triangle,Perfect triangle shaped object hovering over former campground just south of Honey Brook PA.,04/13/2020,06/25/2020
04/06/2020 21:00,Northampton,PA,USA,Unknown,Bright motionless-less light object.  ((NUFORC Note:  Venus??  PD)),04/07/2020,04/09/2020
04/06/2020 19:45,Bristol,PA,USA,Unknown,"Object was coming from the west, and was completely silent. It had a large white light.  ((MUFON report))",01/10/2021,01/19/2021
04/05/2020 19:08,Millerton,PA,USA,,MADAR Node 104,05/01/2020,06/25/2020
04/01/2020 21:00,Snydersville,PA,USA,Changing,Saw a shape like a top hovering for about 40 minutes to an hour thru binoculars could see red green blue and orange lights flashing.,04/01/2020,04/09/2020
04/01/2020 20:30,Enola,PA,USA,Chevron,Fast-moving cloud-like chevron object,04/02/2020,06/25/2020
03/29/2020 22:00,Davidsville,PA,USA,Light,two star-like objects seemingly chasing each other quickly and erratically in the sky before disappearing,03/29/2020,04/09/2020
03/26/2020 06:00,Butler,PA,USA,Light,"37 high altitude, high speed points of light moving in a straight line in eastern direction.  ((Starlink satellites))",03/26/2020,05/21/2020
03/26/2020 06:00,North Wales,PA,USA,Light,14 lighted crafts no blinking navigation lights folling in a straight line completely in a row.  ((Starlink satellites)),03/26/2020,05/21/2020
03/26/2020 05:50,Greensburg,PA,USA,Light,I saw about 20-30 light moving across the sky all in 1 line.  ((Starlink satellites)),03/26/2020,05/21/2020
03/25/2020 11:10,Harlansburg,PA,USA,Triangle,Strange lights in the western sky at night.,03/25/2020,05/21/2020
03/24/2020 18:00,Dingmans Ferry,PA,USA,Disk,glowing grey hue within 60 feet of my head above tree tops with no noise or air movement.,05/11/2020,06/25/2020
03/21/2020 22:30,Emmaus,PA,USA,Fireball,I was walking my dog at 10:30 as i arrived home i looked up and saw what appeared to be a fire ball moving across sky in my direction.,03/21/2020,05/15/2020
03/21/2020 22:00,Harrisburg,PA,USA,Other,Dozens of odd shaped lights traveling at snail pace in the sky.  Some traveling in triangle formation and some alone.  One large craft,03/24/2020,05/21/2020
03/20/2020 22:00,Wyndmoor,PA,USA,Formation,"Elongated vertical red, green and yellow lights traveling from west to south sky.",03/20/2020,04/09/2020
03/18/2020 06:16,Aliquippa,PA,USA,,MADAR Node  68,04/13/2020,05/07/2020
03/15/2020 22:00,Mohnton,PA,USA,Triangle,very bright white large triangle shaped object low in the sky. Green light on bottom left and top turning orange. after two hours it go,03/16/2020,04/09/2020
03/14/2020 23:00,Beaver Falls,PA,USA,Sphere,Very bright circle star like object,03/16/2020,04/09/2020
03/14/2020 00:40,Latrobe,PA,USA,Circle,Driving home with my wife when we both saw  a white circle appear moving quickly across the sky in front of us. It was definitely high,03/30/2020,06/25/2020
