Occurred,City,State,Country,Shape,Summary,lat,lng
03/03/2024 15:36,Waynesburg,PA,USA,Orb,I saw several white volleyball sized and shaped white orbs in the sky rotating all around each other with no obvious pattern,40.1567616,-76.2021742
02/16/2024 21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,40.1567616,-76.2021742
02/14/2024 19:30,Monroeville,PA,USA,Orb,Observed a bright large spherical object tracked and merged with a smaller sphere,40.1567616,-76.2021742
02/14/2024 19:24,Pittsburgh,PA,USA,Orb,object with a halo around it and another object following it,40.1567616,-76.2021742
02/07/2024 04:10,Harrisburg,PA,USA,Triangle,Far up in sky,40.1567616,-76.2021742
01/20/2024 03:18,Essington,PA,USA,Circle,"Looked up at the stars. Saw a very fast round orange orb. Took about 3 to 5 seconds , From north to south across the whole skyline.",40.1567616,-76.2021742
01/14/2024 16:58,Chalfont,PA,USA,Circle,It was a circular white reflection WNW of my location.,40.1567616,-76.2021742
01/14/2024 16:42,Easton,PA,USA,Chevron,Was out getting some air and for a walk and spotted this on my way out while staring at the sign for vitamin D and noticed it.,40.1567616,-76.2021742
01/07/2024 16:23,Wilkes-Barre,PA,USA,Cylinder,2 hovering objects,40.1567616,-76.2021742
01/05/2024 21:45,Philadelphia,PA,USA,Circle,"Large, linear flying object traveling at low level that disappeared suddenly",40.1567616,-76.2021742
01/05/2024 19:06,South Canaan Township,PA,USA,Circle,we never seen so many colors in a plane or any thing like this . we have a video on phone shows it really good what we seen if blown up,40.1567616,-76.2021742
01/02/2024 16:42,Richlandtown,PA,USA,Cigar,"Observed a dull, reddish brown colored cigar-shaped object approach from Southwest of Richlandtown, PA and move Northeast",40.1567616,-76.2021742
12/31/2023 23:45,Allentown,PA,USA,Disk,Orange light in the sky moving quickly from northwest to Southeast direction,40.1567616,-76.2021742
12/20/2023 17:23,Liberty Township,PA,USA,Oval,"It was chrome oval shaped like an egg, hovering over the farm land then instantly gone",40.1567616,-76.2021742
12/16/2023 15:30,Reading,PA,USA,Disk,Definitely caught my attention never seen something like that and flying in that matter plus as metallic glowing some think I’m crazy.,40.1567616,-76.2021742
