,Link,Occurred,City,State,Country,Shape,Summary,Reported,Posted,Media
879,Open,12/22/2019 16:00,Reading,PA,USA,Diamond,"Diamond shaped, noiseless,  hovering about a 1000 feet above ground.",01/15/2020,02/07/2020,
880,Open,12/19/2019 19:15,Plymouth Meeting/Conshohocken,PA,USA,Triangle,"Triangular shaped unidentifiied object with green,red,whit light  hovering in sky in Montgomery county pa",12/20/2019,12/22/2019,
881,Open,12/19/2019 18:10,Girard,PA,USA,Triangle,Gray triangle with large dim lights on each point.,12/22/2019,12/22/2019,
882,Open,12/19/2019 18:00,Exeter,PA,USA,Other,Bright yellow sphere/orb in the sky,12/20/2019,12/22/2019,
883,Open,12/18/2019 21:00,Nanticoke,PA,USA,Diamond,I saw a diamond shaped craft with a dim white lights on each corner with a blinking red light that flashed,01/03/2020,01/31/2020,
884,Open,12/15/2019 22:00,Kennett Square,PA,USA,Triangle,Second sighting I've ever had these were a narrower example of most triangle sightings,12/16/2019,12/19/2019,
885,Open,12/11/2019 06:15,Lyndora,PA,USA,Light,"I witnessed this event beginning at 6:15 am until approx. 6:23 am this morning, 12/11/2019.

It was a steady stream of “stars” moving",12/11/2019,12/19/2019,
886,Open,12/10/2019 17:40,Reading,PA,USA,Light,Bright green flash that lit entire sky. Duration was 5 seconds. Light was all encompassing.,12/11/2019,12/19/2019,
887,Open,12/08/2019 14:43,Lords Valley,PA,USA,,MADAR Node 121,12/13/2019,12/19/2019,
888,Open,12/07/2019 23:05,natrona heights,PA,USA,Light,"Large black helicopter looking craft flying close to tree lines, hovering disk in sky with flashing lights",12/07/2019,12/19/2019,
889,Open,12/07/2019 11:25,WASHINGTON,PA,USA,Formation,While standing on my deck this evening I noticed what looked to be a flock of 4 glowing birds. I quickly realized they weren't birds as,12/07/2019,12/19/2019,
890,Open,12/06/2019 05:30,Warminster,PA,USA,Light,Light blue colored light gaining altitude in sky then disappeared,12/10/2019,12/19/2019,
891,Open,12/03/2019 19:00,Souderton,PA,USA,Circle,"I saw a bright, constant, blue-tinted circular light that accelerated extremely quickly from a still position across the sky.",02/24/2020,02/25/2020,
892,Open,12/01/2019 12:45,Easton,PA,USA,Other,Mostly clear night around 12:45am when a V formation of lights appeared and traveled east across the sky for 15 seconds.,12/01/2019,12/19/2019,
893,Open,11/30/2019 19:00,Columbia,PA,USA,Fireball,"I have 4 different videos of the event. Total, 4 minutes of video. My wife, and I, spotted 6 fire balls in the sky. Three of the fire b",12/01/2019,12/19/2019,
894,Open,11/28/2019 20:15,Lake Harmony,PA,USA,Oval,"Wind draft/jet like sound, bright daylight core, translucent body, heard of 10 to 15 oval but round with tail 4 to 5' big 300' above me",12/02/2019,12/19/2019,
895,Open,11/28/2019 01:50,,PA,USA,Flash,Red/yellow pulsing flashing light. Very bright light up clouds. Appeared to be larger than 2 football fields. Then the flashing just st,11/28/2019,12/01/2019,
896,Open,11/27/2019 22:57,Kittanning,PA,USA,Light,2 blinking orange lights a thumb apart. Circular white light rapidly moving across night sky.,11/27/2019,12/01/2019,
897,Open,11/26/2019 04:22,Williams Township,PA,USA,Other,Object was filmed on my home surveillance camera multiple times that morning,11/26/2019,12/01/2019,
898,Open,11/25/2019 05:45,Pocono PInes,PA,USA,Light,"Saw a fleet of UFO's/Lights appearing out of the sky and then traveling E.  ((NUFORC Note:  ""Starlink"" satellites?  PD))",11/25/2019,12/01/2019,
899,Open,11/23/2019 20:35,New Cumberland,PA,USA,Formation,Formation of multiple orange objects,11/23/2019,12/01/2019,
900,Open,11/21/2019 05:40,Lancaster,PA,USA,Other,Driving to work & I was getting off of Greenfield exit from US 30 & noticed two distinct star like objects in the sky.  Now at first I,11/21/2019,12/01/2019,
901,Open,11/19/2019 01:00,Johnstown,PA,USA,Changing,"I looked out my window and saw a flashing object. I called for my boyfriend so he could confirm what I was seeing.

 The object moved",11/18/2019,12/01/2019,
902,Open,11/18/2019 02:30,Pittston pa,PA,USA,Triangle,triangle with bright red light in the Middle,11/19/2020,12/23/2020,
903,Open,11/17/2019 16:52,Tarentum,PA,USA,Diamond,Spotted a diamond shaped object in the sky,11/18/2019,12/01/2019,
904,Open,11/16/2019 18:29,York,PA,USA,Changing,Saw 2 Orange orbs in the sky one was stationary and the other came up from the ground to the stationary orb. They then rotated.,12/05/2019,12/19/2019,
905,Open,11/16/2019 16:53,Bridgeport,PA,USA,Fireball,It was to many objects flying around the same space at one time and was very unusual. Never seen anything like that before,11/18/2019,12/01/2019,
906,Open,11/12/2019 02:52,Aliquippa,PA,USA,,MADAR Node  68,11/25/2019,12/01/2019,
907,Open,11/08/2019 05:30,Philadelphia,PA,USA,Light,specks of light traveling in the pre dawn crisp clear night high altitude and velosity.,11/08/2019,12/01/2019,
908,Open,11/06/2019 20:00,Coatesville,PA,USA,Circle,"It sounded like a jet going over my community , it was so low to the point it made me look out my window only for me to see about 5 row",11/07/2019,12/01/2019,
909,Open,11/06/2019 18:35,South Park,PA,USA,Triangle,looked out window and saw hollerd for wife to look she came to window and I went outdoors. See above,11/07/2019,12/01/2019,
910,Open,11/05/2019 23:40,Shrewsbury,PA,USA,Fireball,"I saw a large bright yellow light from my window, at night it was in the shape of a fireball, and was moving closer to my window.",11/06/2019,12/01/2019,
911,Open,11/05/2019 21:27,"Pittsburgh, Hazelwood",PA,USA,Triangle,Triangle hovering craft,11/06/2019,12/01/2019,
912,Open,11/02/2019 20:00,Erie,PA,USA,Unknown,"Bright flashes in eastern sky appearing to come from the ground, noticed at a distance in the Easter sky that there was a bright object",11/02/2019,12/01/2019,
913,Open,10/30/2019 21:10,East Berlin,PA,USA,Light,Bright light,11/30/2019,12/01/2019,
914,Open,10/28/2019 13:00,Williamsport,PA,USA,Cigar,"Travel east from west very slow shines cigar shape windows along entire side about 800 ft. Long, made no noise",10/28/2019,12/01/2019,
915,Open,10/25/2019 22:30,Philadelphia,PA,USA,Formation,There were strange lights floating in the sky it almost seemed like bags of light or flashes of light but they were definitely moving p,10/25/2019,12/01/2019,
916,Open,10/24/2019 21:00,Honesdale,PA,USA,Rectangle,Look like the neighbor was flying their drone was hovering for a while (25 mins) then it flew over us realizing that it was much higher,10/24/2019,12/01/2019,
917,Open,10/24/2019 19:00,Chester Springs,PA,USA,Triangle,Flying triangle with three white lights on edges seen from afar and then followed car and then vanished,10/24/2019,12/01/2019,
918,Open,10/24/2019 09:45,Beaver Falls,PA,USA,Light,Mysterious silent moving lights in sky,10/24/2019,12/01/2019,
919,Open,10/24/2019 07:05,,PA,USA,Light,Blinking light that was in an unusual location,10/24/2019,12/01/2019,
