,Link,Occurred,City,State,Country,Shape,Summary,Reported,Posted,Media
0,Open,03/03/2024 15:36,Waynesburg,PA,USA,Orb,I saw several white volleyball sized and shaped white orbs in the sky rotating all around each other with no obvious pattern,03/03/2024,03/13/2024,
1,Open !,02/16/2024 21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,02/16/2024,03/13/2024,Y
2,Open,02/14/2024 19:30,Monroeville,PA,USA,Orb,Observed a bright large spherical object tracked and merged with a smaller sphere,02/14/2024,02/15/2024,
3,Open,02/14/2024 19:24,Pittsburgh,PA,USA,Orb,object with a halo around it and another object following it,03/10/2024,03/13/2024,Y
4,Open,02/07/2024 04:10,Harrisburg,PA,USA,Triangle,Far up in sky,02/07/2024,02/15/2024,
5,Open,01/20/2024 03:18,Essington,PA,USA,Circle,"Looked up at the stars. Saw a very fast round orange orb. Took about 3 to 5 seconds , From north to south across the whole skyline.",01/21/2024,02/15/2024,
6,Open,01/14/2024 16:58,Chalfont,PA,USA,Circle,It was a circular white reflection WNW of my location.,01/15/2024,02/15/2024,
7,Open,01/14/2024 16:42,Easton,PA,USA,Chevron,Was out getting some air and for a walk and spotted this on my way out while staring at the sign for vitamin D and noticed it.,01/14/2024,02/15/2024,Y
8,Open,01/07/2024 16:23,Wilkes-Barre,PA,USA,Cylinder,2 hovering objects,01/11/2024,02/15/2024,Y
9,Open,01/05/2024 21:45,Philadelphia,PA,USA,Circle,"Large, linear flying object traveling at low level that disappeared suddenly",01/05/2024,02/15/2024,
10,Open,01/05/2024 19:06,South Canaan Township,PA,USA,Circle,we never seen so many colors in a plane or any thing like this . we have a video on phone shows it really good what we seen if blown up,01/06/2024,02/15/2024,
11,Open,01/02/2024 16:42,Richlandtown,PA,USA,Cigar,"Observed a dull, reddish brown colored cigar-shaped object approach from Southwest of Richlandtown, PA and move Northeast",01/05/2024,02/15/2024,
12,Open,12/31/2023 23:45,Allentown,PA,USA,Disk,Orange light in the sky moving quickly from northwest to Southeast direction,01/02/2024,02/15/2024,Y
13,Open,12/20/2023 17:23,Liberty Township,PA,USA,Oval,"It was chrome oval shaped like an egg, hovering over the farm land then instantly gone",12/21/2023,02/15/2024,
14,Open,12/16/2023 15:30,Reading,PA,USA,Disk,Definitely caught my attention never seen something like that and flying in that matter plus as metallic glowing some think I’m crazy.,12/16/2023,12/20/2023,Y
15,Open,12/16/2023 02:10,Tunkhannock,PA,USA,Flash,I saw a bright blue flash in the Eastern sky. 2 other people saw it as well.,12/16/2023,12/20/2023,
16,Open,12/14/2023 18:00,Harleysville,PA,USA,Sphere,Spherical object moving with bright flashing lights,12/15/2023,12/20/2023,Y
17,Open,12/12/2023 05:30,TATAMY Borough,PA,USA,Circle,Flash then light,12/12/2023,12/20/2023,
18,Open,12/10/2023 03:07,Bath,PA,USA,Fireball,Hovering light orb that repeatedly grew into huge extremely bright fireball/vortex circle and back to orb.,02/13/2024,02/15/2024,
19,Open,12/08/2023 20:00,Pittsburgh,PA,USA,Chevron,"My husband and I saw and took a video of a very large, chevron shaped craft with a straight row of lights across the back center.",12/08/2023,12/09/2023,Y
20,Open,12/08/2023 18:01,Kennett Township,PA,USA,Changing,"Object went from a triangle shaped craft in the distance to a massive craft over top of me. The craft didn’t leave, it faded away.",12/30/2023,02/15/2024,Y
21,Open,12/08/2023 17:30,West Goshen Township,PA,USA,Orb,Amber light. High altitude,12/11/2023,12/20/2023,
22,Open,12/06/2023 19:45,Red Lion,PA,USA,Light,This is the second sighting of this object in the same location. It appears as a white pulsating light,12/06/2023,12/09/2023,Y
23,Open,12/05/2023 01:42,Saylorsburg,PA,USA,Circle,I woke up right before this and saw it out my window,01/26/2024,02/15/2024,Y
24,Open,11/28/2023 13:43,North East,PA,USA,Orb,Seen on 95 south in northeast philly,12/05/2023,12/09/2023,Y
25,Open,11/19/2023 12:15,North York,PA,USA,Triangle,Black triangle object with 5-7 dimmed lights moving in deep space,11/21/2023,12/09/2023,
26,Open,11/14/2023 17:30,Flying Hills,PA,USA,Cross,5 objects with white lights hanging in straight line and one with 3 red lights hanging in straight line moving quickly.,11/14/2023,12/09/2023,
27,Open !,11/12/2023 18:55,Nixon,PA,USA,Disk,Driving at night and saw a green lit object drop down and zoom off,11/12/2023,12/09/2023,
28,Open !,11/11/2023 22:40,Slippery Rock,PA,USA,Triangle,Triangle shaped craft that moved like nothing I’ve ever seen.,11/11/2023,12/09/2023,
29,Open,11/11/2023 21:36,Pittsburgh,PA,USA,Circle,a drone or what appears to be an aircraft of some sort has been hovering every night at the corner of N. Craig and baum boulevard,11/11/2023,12/09/2023,
30,Open,11/11/2023 17:58,Polk,PA,USA,Triangle,I walked out of my garage looked up at the sky and saw a triangle of three lights two green and one white .,11/11/2023,12/09/2023,
31,Open,11/05/2023 18:44,O'Hara Township,PA,USA,Oval,I looked up a saw a giant flash in the sky.,11/12/2023,12/09/2023,
32,Open !,11/05/2023 10:32,Mount Morris,PA,USA,Orb,"Large extremely fast moving orb moving across the sky that stopped in midair, turned, and continued in the direction",11/06/2023,12/09/2023,
33,Open,11/03/2023 20:56,Lansdale,PA,USA,Oval,Along botm. Two rings of Rainbow LEDs.W/some sort of cloaking ability on the ship BC IT was blurry BUT the sky&lights along bttm.CLEAR,12/23/2023,02/15/2024,
34,Open,11/02/2023 21:02,Lemoyne,PA,USA,Cigar,"Saw a fast-moving, glowing white tic-tac shape in the sky",11/03/2023,12/09/2023,Y
35,Open,10/26/2023 21:25,Glen Mills,PA,USA,Orb,A glowing orb that flys straight up,01/06/2024,02/15/2024,Y
36,Open,10/21/2023 20:45,York,PA,USA,Changing,What appeared to be a full moon abruptly moved across the sky from 180 * SW to 200* stayed until 10:30pm then abruptly shrunk in size,10/21/2023,10/28/2023,
37,Open,10/14/2023 01:59,New Brighton,PA,USA,Unknown,I found this photo on my trail camera its a squence of 3 photos this is 1.My Am and Pm are reversed on my camera,10/20/2023,10/28/2023,Y
38,Open,10/12/2023 06:30,Felton,PA,USA,Light,Bright blue lights with a flashing red light,10/22/2023,10/28/2023,
39,Open,10/04/2023 21:30,,PA,USA,Light,"I first saw a white pulsing light with multiple points like a classic Christmas star. As it move silently another one appeared, red.",10/05/2023,10/28/2023,Y
40,Open,10/04/2023 19:30,"Myerstown, PA",PA,USA,Triangle,Low Flying Aircraft With 3 Lights In The Shape Of A Triangle-Looks Like An Airplane But Only With 3 Triangular Lights,10/07/2023,10/28/2023,
41,Open,10/03/2023 19:04,Erie,PA,USA,Formation,My wife and I thought we were looking at a helicopter but it wasn’t making any noise.,10/03/2023,10/28/2023,Y
42,Open,10/01/2023 01:00,Ebensburg,PA,USA,Other,"Clear night sky, two orange lights with an orange trail appeared moving very fast from west to southeast.",10/01/2023,10/28/2023,
43,Open,09/30/2023 21:00,Gettysburg,PA,USA,Disk,blinking object seen racing around in sky,10/08/2023,10/28/2023,Y
44,Open,09/29/2023 23:50,Otter creek township,PA,USA,Orb,Watch a bright orb that then just vanished like a light switch being turned off. It returned 5 minutes later and slowly faded out.,09/29/2023,10/28/2023,
45,Open,09/27/2023 08:45,cashtown/ortanna,PA,USA,Other,we seen a tiny funnel and then a giant shadow walk 5 steps across the sky on the way to work,09/30/2023,10/28/2023,
46,Open,09/19/2023 22:37,Mercersburg,PA,USA,Circle,This orange orb pops up around 10:30 to 10:40 at various nights. No correlation to what nights or triggers.,09/20/2023,10/28/2023,Y
47,Open,09/14/2023 05:00,Mt. Lebanon,PA,USA,Changing,I saw a craft at high altitude flying in a straight trajectory from the north to the west according to my iPhones compass and the posit,10/05/2023,10/28/2023,
48,Open,09/11/2023 19:56,Norristown,PA,USA,Fireball,Three fireball circles moving east without any sound,09/11/2023,10/28/2023,
49,Open,09/07/2023 09:09,Ford City,PA,USA,Unknown,Couldn’t Identify,09/08/2023,09/10/2023,Y
50,Open,09/07/2023 05:45,Chester Springs/Eagle,PA,USA,Orb,"I let my dog out, looked northwest, and saw two orbs in close proximity silently moving towards me overhead.",09/07/2023,09/10/2023,
51,Open,09/06/2023 05:28,Glenside,PA,USA,Light,Looking up at half moon I saw a dot moving East Southeast which I watched for about 15 seconds which then blinked red and disappeared,09/06/2023,09/10/2023,
52,Open,09/04/2023 22:00,Roulette,PA,USA,Oval,I was out side looking up into the sky and I seen a object going one direction and changed directions all at once.(white),10/07/2023,10/28/2023,
53,Open !,09/04/2023 20:54,Camp Hill,PA,USA,Circle,"We observed a saucer-shaped craft ascend from the horizon to the upper atmosphere in a fraction of a second, before separating",09/12/2023,10/28/2023,Y
54,Open,09/04/2023 20:40,Boswell,PA,USA,Orb,Bright orange light came out of south and stopped for minutes before heading easterly. Then a second object did much the same thing.,09/04/2023,09/10/2023,
55,Open,09/04/2023 00:23,St.Thomas,PA,USA,Formation,"Multiple lights, triangle formation, releasing smaller lights, moving very fast.",09/04/2023,09/10/2023,
56,Open,09/03/2023 21:00,7 miles north of Benton,PA,USA,Formation,String of white lights seen by 5 people sitting on outside porch,09/03/2023,09/10/2023,
57,Open,09/02/2023 03:30,Milesburg,PA,USA,Disk,The disk saucer had a white glow around it. It came up from the ground and shot up into the Northern direction,09/05/2023,09/10/2023,
58,Open,09/01/2023 20:30,Sunbury,PA,USA,Egg,I was walking down the street after my dad dropped me off at my mom's and I looked and saw a redish dot flying quickly across the sky,09/02/2023,09/10/2023,Y
59,Open,09/01/2023 19:30,Drexel Hill,PA,USA,Cylinder,Saw bright objects in the sky did not look like planes slowly in a pattern,09/18/2023,10/28/2023,Y
60,Open,08/31/2023 23:00,Ambridge,PA,USA,Cylinder,A silver or gray line that was very high up barely visible.,09/01/2023,09/10/2023,
61,Open,08/30/2023 20:30,Hamburg,PA,USA,Diamond,Diamond craft sighting,09/06/2023,09/10/2023,
62,Open,08/20/2023 22:01,Washington,PA,USA,Light,Saw a bright red light in the sky that was completely silent and still. Moves slowly and erraticly and then slowly moved away returned,08/24/2023,09/10/2023,
63,Open,08/20/2023 21:30,Pittsburgh,PA,USA,Light,Bright light not moving in straight line which goes off then comes back on moving in different direction,08/20/2023,09/10/2023,
64,Open,08/17/2023 22:00,Roulette,PA,USA,Sphere,"Was outside with dog, clear night. Looking up at stars and spot ufo and whatched for 20min went left without turning and then gone.",10/26/2023,10/28/2023,
65,Open,08/16/2023 21:40,Erwinna,PA,USA,Orb,"Two orbs, one red another blue approx. 250 ft. just above tree tops.",08/20/2023,09/10/2023,
66,Open,08/16/2023 02:20,State College,PA,USA,Circle,"I noticed a very bright light so grabbed my phone just to make it bigger to see it better, made video, object moved like a jelly fish",08/17/2023,09/10/2023,Y
67,Open,08/12/2023 22:05,Assateague Island,PA,USA,Circle,"Not perfectly straight line, but a semi straight line, of light glowing objects. Came from a star, then disappeared behind another one.",10/18/2023,10/28/2023,
68,Open,08/10/2023 23:30,Castle Shannon,PA,USA,Orb,Almost looked like a flash of lighting but most certainly was not,08/11/2023,09/10/2023,
69,Open,08/10/2023 23:00,Gap,PA,USA,Changing,Glowing orb that grew brighter as it moved closer and turned into three lights on a large triangular chevron craft,08/30/2023,09/10/2023,
70,Open,08/09/2023 11:15,Irwin,PA,USA,Teardrop,"My back yard, black bird shaped object, traveled east to west, high rate of speed",08/09/2023,09/10/2023,
71,Open,08/06/2023 21:30,Carlisle,PA,USA,Orb,"Saw 3 red dots in the formation of a triangle that were slowly moving, independent of each other, then disappeared.",08/06/2023,09/10/2023,Y
72,Open,08/05/2023 01:00,Vandergrift,PA,USA,Other,"I saw a large white light accompanied by four big, medium, and four small grey and blue crafts.",08/10/2023,09/10/2023,
73,Open,08/04/2023 22:32,Mifflinburg,PA,USA,Circle,Was taking dogs out and saw a ball of light moving across the sky,08/04/2023,09/10/2023,
74,Open,08/02/2023 22:38,Pottstown,PA,USA,Rectangle,object seem to be hovering over a house,08/10/2023,09/10/2023,Y
75,Open,07/31/2023 03:29,Newtown Square,PA,USA,Sphere,Was looking at meteor shower and saw a ufo changing colors and flying in strange patterns,07/31/2023,09/10/2023,Y
76,Open,07/30/2023 21:50,Trevose,PA,USA,Cigar,Sparkling lights in a cigar shape gilding throught the night sky,08/09/2023,09/10/2023,Y
77,Open,07/25/2023 16:00,Yardley,PA,USA,Unknown,"There are alien bird noises played by an alien speaker in our backyard; real birds are not there, these are electronic noises.",08/02/2023,09/10/2023,
78,Open,07/22/2023 21:30,Bellefonte,PA,USA,Triangle,"Craft was low overhead, made no noise. Made almost a right angle turn, never slowing down. 3 blinking lights",07/23/2023,07/29/2023,
79,Open,07/21/2023 22:15,Lewisburg,PA,USA,Changing,On patrol and saw greenish light above a house,08/04/2023,09/10/2023,Y
80,Open,07/20/2023 02:20,Lock Haven,PA,USA,Circle,Color lights in sky,07/19/2023,07/29/2023,
81,Open,07/17/2023 23:35,Lancaster,PA,USA,Sphere,Bright red to orange light.,08/25/2023,09/10/2023,
82,Open,07/15/2023 22:40,Fullerton,PA,USA,Formation,3 Reddish orbs seen hovering over east Catasaqua,07/16/2023,07/29/2023,Y
83,Open,07/14/2023 23:02,Bristol,PA,USA,Light,Observed in night sky,07/24/2023,07/29/2023,Y
84,Open,07/12/2023 20:00,Willow street,PA,USA,Other,Metallic chrome so shiny it looked lit two cigar shapes side by side.,07/13/2023,07/29/2023,
85,Open,07/10/2023 21:49,F68J+53P Sugarcreek,PA,USA,Light,"In a field, next to a lake and trees, a few objects like stars, but stars don't move that fast. One went from amber orb to star like",07/11/2023,07/29/2023,Y
86,Open,07/08/2023 09:30,coatesville,PA,USA,Light,"There was no sound, and no blinking lights. As they were heading NW they got higher and higher and went into the atmosphere.",07/08/2023,07/10/2023,
87,Open,07/06/2023 07:50,Pottstown,PA,USA,Circle,JBU555 pilots reported fast flying object 4-5 thousand feet above,07/06/2023,07/10/2023,
88,Open,07/04/2023 22:12,Mount Holly springs,PA,USA,Other,"My fiance was at her mother's house ,she noticed this in the night sky it was not the moon .",07/06/2023,07/10/2023,
89,Open !,07/02/2023 21:45,Elizabethtown,PA,USA,Light,A short creature with big black shiny eyes ran from my shed back behind my car and then green lights flashed and it was gone.,07/03/2023,07/10/2023,Y
90,Open,07/02/2023 21:35,Vandergrift,PA,USA,Orb,I took a video of it,07/02/2023,07/10/2023,Y
91,Open,07/02/2023 19:05,Montgomeryville,PA,USA,Sphere,"Pre-tornado: One with a trail far away, one floating much closer",07/06/2023,07/10/2023,
92,Open,06/20/2023 03:08,Berwick,PA,USA,Orb,Cloudy no stars visible very humid i saw a decending green silent orb go streaking past my window with a green short tail not on fire,06/20/2023,07/10/2023,
93,Open,06/17/2023 22:40,DuBois,PA,USA,Chevron,"A translucent or black ""boomerang"" or ""flying v"" shaped craft moved rapidly away from a fireworks display.",07/13/2023,07/29/2023,Y
94,Open,06/12/2023 22:42,Grantville,PA,USA,Light,horizontal row of about 10 white lights appeared to grow larger as it moved closer towards me and smaller as it moved away,06/13/2023,07/10/2023,
95,Open,06/12/2023 18:00,chester springs,PA,USA,Disk,object floating in sky for around an hour,06/14/2023,07/10/2023,Y
96,Open,06/03/2023 23:30,Dresher,PA,USA,Chevron,Object was hovering high then sped off at a very high speed.,06/03/2023,07/10/2023,
97,Open,05/27/2023 22:17,Snow Shoe,PA,USA,Light,"We watched a very bright orange round light come seemingly out of nowhere then came overtop of us, no sound.",09/25/2023,10/28/2023,Y
98,Open,05/25/2023 21:40,Bloomsburg,PA,USA,Orb,No noise no flashing lights very bright disappears,05/26/2023,07/10/2023,
99,Open,05/25/2023 21:09,Tower City,PA,USA,Cigar,It was fast,08/25/2023,09/10/2023,Y
100,Open,05/25/2023 16:38,Shrewsbury,PA,USA,Sphere,Sphere seen stationary then departed at a high speed. (unknown height or distance),07/17/2023,07/29/2023,Y
101,Open,05/22/2023 20:02,Pittsburgh,PA,USA,Circle,Strange object following airplane then passes it,10/17/2023,10/28/2023,Y
102,Open,05/19/2023 09:45,Lakeville,PA,USA,Sphere,"Large Blimp like object about 15-30 bus lengths long moving slowly, 300-500 yards above lake",05/31/2023,07/10/2023,Y
103,Open,05/18/2023 22:00,Leetonia,PA,USA,Chevron,This v shaped appeared flying up the canyon and disappeared after about 5 seconds,01/05/2024,02/15/2024,
104,Open,05/14/2023 22:00,"Brodheadsville, PA",PA,USA,Cigar,"150ft+ maybe bigger Transparent single ufo with lights disappears above heads, below and behind plane",05/15/2023,05/19/2023,
105,Open,05/13/2023 22:15,Lebanon,PA,USA,Circle,Two white lights one vertical to the other approx 70 degrees from horizon,05/15/2023,05/19/2023,Y
106,Open,05/08/2023 12:30,Hazle Township,PA,USA,Egg,Object was flying aside a commercial jet liner that was flying very low.,05/08/2023,05/19/2023,Y
107,Open,05/02/2023 09:20,West chester,PA,USA,Oval,Potential UAP over route 202 orange glowing blurred object ascending,05/02/2023,05/19/2023,
108,Open,05/01/2023 21:17,Mount Carmel,PA,USA,Formation,Red Objects Flying in formation.,05/03/2023,05/19/2023,Y
109,Open,04/22/2023 17:10,Uniontown,PA,USA,Cylinder,Object viewed flying within wingspan of commercial aircraft,04/23/2023,05/19/2023,Y
110,Open,04/21/2023 21:20,Altoona,PA,USA,Diamond,"Heard what sounded similar to a turbo diesel engine but we knew that it wasn't that. We all began to investigate the sound,",04/22/2023,05/19/2023,
111,Open,04/20/2023 21:30,Ambridge,PA,USA,Chevron,It looked like a plane towing another plane but was connected.,09/01/2023,09/10/2023,
112,Open,04/18/2023 22:17,Lancaster,PA,USA,Flash,Multi flashing objects,04/18/2023,05/19/2023,
113,Open,04/18/2023 17:50,Mechanicsburg,PA,USA,Sphere,A silver sphere shaped object was noticed while looking out over an open field.,04/18/2023,05/19/2023,
114,Open,04/13/2023 20:48,Lancaster,PA,USA,Circle,I was walking from the store to my house and saw a blinking circle that was white not red like in the video then a fast moving orb,04/26/2023,05/19/2023,Y
115,Open,04/09/2023 22:30,Morrisville,PA,USA,Light,While looking out a window of the house a ball of orange light appeared in the trees past a neighbor’s house.,04/10/2023,05/19/2023,Y
116,Open,04/06/2023 08:40,Newtown Square,PA,USA,Rectangle,"Long black tube shape, 30+ ft long, hovering and then moving away",04/06/2023,05/19/2023,Y
117,Open,03/31/2023 20:03,Williamsport,PA,USA,Orb,Light orb moved a bit fast then stopped and hovered above my house. Moving different directions. Then disappeared,07/22/2023,07/29/2023,Y
118,Open,03/29/2023 22:00,Shippensburg,PA,USA,Orb,I saw 3 bright green straight line beams not lighting lightning cant be straight followed by a orb arcing around in the sky 10min later,03/29/2023,04/09/2023,
119,Open,03/20/2023 02:00,Oxford,PA,USA,Oval,I seen a ufo slowing moving past but then disappear in a blink,04/03/2023,04/09/2023,
120,Open,03/18/2023 23:30,Harrisburg,PA,USA,Circle,Extremely bright circular object with a spotlight that disappeared into a cloud,03/17/2023,04/09/2023,
121,Open,03/18/2023 17:06,Hatboro,PA,USA,Sphere,2 spinning spheres changing direction,11/20/2023,12/09/2023,
122,Open,03/15/2023 20:38,Polk,PA,USA,Light,Bright light speeding across the sky.,07/11/2023,07/29/2023,Y
123,Open,03/11/2023 20:00,Pottstown,PA,USA,Triangle,Silent flash of light in triangle,03/11/2023,04/09/2023,
124,Open,03/10/2023 22:00,Wrightsville,PA,USA,Disk,Really Big Disk shape with white and blue loghts,06/02/2023,07/10/2023,
125,Open,03/09/2023 20:55,Hermitage,PA,USA,Chevron,Hovering V shaped craft,03/09/2023,04/09/2023,
126,Open,03/05/2023 21:24,Morrisville,PA,USA,Triangle,2 bright white lights yellowish flashing,03/06/2023,04/09/2023,Y
127,Open,03/04/2023 19:30,White deer township,PA,USA,Light,Saw two bright lights fairly high up appearing stationary at first with light being on for 30+ seconds,03/04/2023,03/06/2023,
128,Open,03/01/2023 19:53,Saylorsburg,PA,USA,Unknown,Saw 2 lights in the sky while getting dropped off at home.  NUFORC Note: Jupiter and Venus,03/01/2023,03/06/2023,Y
129,Open,03/01/2023 19:36,Youngsville,PA,USA,Light,"Two objects, or one with two lights.   NUFORC Note: Jupiter and Venus",03/01/2023,03/06/2023,
130,Open,03/01/2023 19:20,Butler,PA,USA,Circle,"Saw two orange lights, one larger than the other, very close together, still, not moving. NUFORC Note: Jupiter and Venus",03/01/2023,03/06/2023,
131,Open,03/01/2023 19:19,Munhall,PA,USA,Other,Two crafts then one dissappeared.   NUFORC Note: Jupiter and Venus,03/01/2023,03/06/2023,Y
132,Open,03/01/2023 19:15,Hazleton,PA,USA,Oval,"Oval shaped object, and tiny red light",03/02/2023,03/06/2023,
133,Open,03/01/2023 19:07,Farrell,PA,USA,Changing,Light greenish blue-red then all white then another light up directly in front of it,03/01/2023,03/06/2023,
134,Open,03/01/2023 18:50,Altoona,PA,USA,Circle,Not sure if it was one or 2,07/30/2023,09/10/2023,Y
135,Open,03/01/2023 18:49,Butler,PA,USA,Unknown,Looked up at an unfamiliar light in the sky that me and my wife had first noticed. There were 2 lights.  NUFORC Note: Jupiter and Venus,03/01/2023,03/06/2023,Y
136,Open,02/21/2023 22:20,Elizabethtown,PA,USA,Other,Stationary in sky,02/21/2023,03/06/2023,Y
137,Open,02/21/2023 17:00,Gouldsboro,PA,USA,Other,"Driving home on I-380 North, saw object in the sky, assumed it was an airplane, but it really wasn't moving until it was gone.",02/22/2023,03/06/2023,
138,Open,02/20/2023 21:00,Dillsburg,PA,USA,Sphere,"Hovering flying object with flashing red, green and white lights.",04/02/2023,04/09/2023,
139,Open,02/19/2023 18:31,Bridgeville,PA,USA,Changing,Lights that got more intense.,02/22/2023,03/06/2023,Y
140,Open,02/17/2023 18:30,Blanchard,PA,USA,Circle,Two very bright white objects traveling from south to northwesterly direction.,02/17/2023,03/06/2023,Y
141,Open,02/17/2023 00:30,Catasauqua,PA,USA,Changing,Sound,02/16/2023,03/06/2023,
142,Open,02/12/2023 19:40,On route 22 heading towards Blairsville. Near Johnstown exit,PA,USA,Cylinder,We were driving and saw it in the sky in front of us.,02/12/2023,03/06/2023,
143,Open,02/12/2023 19:38,Oil City,PA,USA,Circle,Several Circular Crafts of Yellow/Orange Light in Night Sky,02/12/2023,03/06/2023,
144,Open,02/10/2023 18:48,Pittsburgh,PA,USA,Changing,3 very bright disk formed like a triangle low in sky hovering making hovering vibration sound loud low loud low 1 shot bright beam to g,02/11/2023,03/06/2023,
145,Open,02/08/2023 18:30,Port Allegany,PA,USA,Triangle,Triangle lights appeared disappeared then reappeared as it moved across the sky.,02/08/2023,03/06/2023,Y
146,Open,02/08/2023 17:30,Saint Marys,PA,USA,Cylinder,Very bright low hovering flying object with multiple lights.,02/12/2023,03/06/2023,Y
147,Open,02/06/2023 18:45,Glen Mills,PA,USA,Rectangle,Object was flying to the left of the highway,02/09/2023,03/06/2023,Y
148,Open,02/02/2023 06:14,Allentown,PA,USA,Orb,Orange orb moved across sky quickly traveling Northeast,02/02/2023,03/06/2023,
149,Open,02/01/2023 22:29,tyrone,PA,USA,Sphere,"Caught on camera, didn't realize there was an anomaly until later.",02/05/2023,03/06/2023,Y
150,Open,02/01/2023 18:48,Baden,PA,USA,Light,"Two bright lights flying in formation, the lead one dim followed by a bright white light",02/02/2023,03/06/2023,Y
151,Open,01/28/2023 20:39,"Littlestown,",PA,USA,Cigar,Weird object hanging in sky with lights all around,01/29/2023,03/06/2023,
152,Open,01/24/2023 09:50,Lehighton,PA,USA,Unknown,High speed small object being followed by a jet at high altitude object changed direction suddenly jet followed,01/26/2023,03/06/2023,Y
153,Open,01/23/2023 06:30,Rohrsburg,PA,USA,Light,Two non-blinking lights with a distance between them the same as the length of the big dipper.,01/29/2023,03/06/2023,
154,Open,01/17/2023 22:20,Pittsburgh,PA,USA,Unknown,"Very loud red and white lights, gliding over our house, moving and shaped unlike a plane",01/17/2023,03/06/2023,
155,Open,01/16/2023 06:50,Shiloh,PA,USA,Light,"Saw two bright white lights on my way to work, both disappeared within minutes from seeing them",01/16/2023,03/06/2023,Y
156,Open,01/15/2023 15:30,Media,PA,USA,Fireball,I saw 3 fireball shaped clouds moving almost vertically in the sky. I took out my phone and took a video. Then I stopped the video.,01/15/2023,03/06/2023,
157,Open,01/06/2023 08:10,Waynesboro,PA,USA,Unknown,I saw it moving quickly and noticed it wasn’t a plane.,01/07/2023,03/06/2023,Y
158,Open,01/05/2023 18:03,Nazareth,PA,USA,Cylinder,Looked out towards my window and saw an unidentified object floating in the air.,01/05/2023,03/06/2023,Y
159,Open,01/03/2023 23:30,New Castle,PA,USA,Cigar,25 Cigar Bright Shaped high as plane,01/07/2023,03/06/2023,
160,Open,12/29/2022 06:47,Lebanon,PA,USA,Formation,7 bright lights in a V formation,12/29/2022,03/06/2023,
161,Open,12/29/2022 00:05,Chadds Ford,PA,USA,Orb,Orb of light shooting downwards and disappearing,12/30/2022,03/06/2023,
162,Open,12/28/2022 19:02,Shiloh,PA,USA,Cross,"Bright light in sky, wasn't still at 1st, eventually saw the shape above me, moved straight in 1 direction, reversed, then went high up",01/16/2023,03/06/2023,Y
163,Open,12/27/2022 18:45,Morrisville,PA,USA,Changing,Two crafts acting in odd manner in sky,12/27/2022,03/06/2023,
164,Open,12/24/2022 20:40,Yardley,PA,USA,Orb,Orange silent orb flying at helicopter height,12/24/2022,03/06/2023,
165,Open,12/21/2022 07:04,Waynsboro,PA,USA,Orb,Loud horn like sound from above for 3 days moring and during night.,01/29/2023,03/06/2023,
166,Open,12/14/2022 06:00,Ambler,PA,USA,Circle,Brighter ball moved like the speed of light,01/11/2023,03/06/2023,
167,Open,12/13/2022 10:20,Lewistown,PA,USA,Circle,it almost looked like a bright star but it was movie left and right up and down it was not a plane,12/13/2022,12/22/2022,
168,Open,12/13/2022 02:00,Phila,PA,USA,Light,Brilliant glowing trails of light,12/13/2022,12/22/2022,Y
169,Open,12/12/2022 22:00,Harleysville,PA,USA,Changing,Numerous big bright rapidly changing lights.,12/13/2022,12/22/2022,
170,Open,12/10/2022 22:30,Saegertown,PA,USA,Formation,Light formation in sky disappeared abruptly,01/12/2023,03/06/2023,
171,Open,12/10/2022 21:30,Lake Ariel,PA,USA,Orb,Green Light orb,04/16/2023,05/19/2023,
172,Open,12/10/2022 20:40,Harrisburg/Camp Hill,PA,USA,Light,3 rotating lights shining through clouds moving at a consistent speed and moving in a consistent pattern,12/10/2022,12/22/2022,
173,Open,12/10/2022 06:25,Orefield,PA,USA,Cigar,Massive obsidian coloured cigar shaped object,12/10/2022,12/22/2022,
174,Open,12/10/2022 06:25,Allentown,PA,USA,,Spikes on magnetometer at MADAR site 177. MSV confirmed on compass as well.,06/26/2023,07/10/2023,
175,Open,12/09/2022 21:40,Pottstown,PA,USA,Triangle,3 dim lit orange light under craft no blinking lights flying low and silent,12/09/2022,12/22/2022,
176,Open,12/08/2022 19:12,Duncannon,PA,USA,Light,Saw two lights moving around in a pattern.,12/08/2022,12/22/2022,Y
177,Open,12/04/2022 12:47,Neshaminy,PA,USA,Triangle,Triangular shaped flat flying object,12/04/2022,12/22/2022,Y
178,Open,12/04/2022 12:25,Conshohocken,PA,USA,Triangle,Black triangle appeared to glide over homes until was no longer in view,12/04/2022,12/22/2022,
179,Open,11/26/2022 22:55,Hatboro,PA,USA,Triangle,Hovering craft,11/26/2022,12/22/2022,Y
180,Open,11/26/2022 16:30,Phila,PA,USA,Fireball,"Stationary fireball type object ,with horned type flames from top.  ((NUFORC Note:  Contrail.  PD))",11/28/2022,12/22/2022,
181,Open,11/22/2022 22:50,Pittsburgh,PA,USA,Cross,Two brightly lit objects appeared simultaneously on the horizon flying over our home approximately 5 -,11/22/2022,12/22/2022,
182,Open,11/22/2022 16:47,Mount Joy,PA,USA,Light,Extremely bright light blinking on then off and moved to different position in high atmosphere,11/24/2022,12/22/2022,
183,Open,11/21/2022 22:00,Downingtown,PA,USA,Fireball,Radiation emitting from changing ever present thing,11/21/2022,12/22/2022,
